productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extRarity,extDescription,extCost,extTypeLine,extCardCategory,extCardType,extCardSubtype,extThreshold,extElement,extPowerRating,extLife,extFlavorText,extDefensePower
563830,Arthurian Legends Booster Box,Arthurian Legends Booster Box,https://tcgplayer-cdn.tcgplayer.com/product/563830_200w.jpg,77,23588,https://cpt.tcgcsv.com/Dxw6,2024-10-04T04:08:15.8,1,84.95,104.97,200.0,89.8,,Normal,,,,,,,,,,,,,
563831,Arthurian Legends Booster Case,Arthurian Legends Booster Case,https://tcgplayer-cdn.tcgplayer.com/product/563831_200w.jpg,77,23588,https://cpt.tcgcsv.com/Fxw6,2024-10-04T04:08:15.8,1,492.89,531.94,850.0,522.62,,Normal,,,,,,,,,,,,,
563832,Arthurian Legends Booster Pack,Arthurian Legends Booster Pack,https://tcgplayer-cdn.tcgplayer.com/product/563832_200w.jpg,77,23588,https://cpt.tcgcsv.com/Gxw6,2024-10-04T04:08:15.8,1,6.53,7.84,9.25,7.48,,Normal,,,,,,,,,,,,,
585127,13 Treasures of Britain,13 Treasures of Britain,https://tcgplayer-cdn.tcgplayer.com/product/585127_200w.jpg,77,23588,https://cpt.tcgcsv.com/z3J6,2024-10-04T19:00:04.583,1,2.25,3.49,15.0,2.64,,Normal,Unique,"When picked up, bearer's controller draws a card. Teleport the Treasures to the top of a random site or void.",4,A Unique collection of priceless Relics,Spell,Artifact,Relic,,,,,,
585128,13 Treasures of Britain (Foil),13 Treasures of Britain Foil,https://tcgplayer-cdn.tcgplayer.com/product/585128_200w.jpg,77,23588,https://cpt.tcgcsv.com/B3J6,2024-10-04T19:00:04.693,1,49.99,53.15,60.0,52.99,,Foil,Unique,"When picked up, bearer's controller draws a card. Teleport the Treasures to the top of a random site or void.",4,A Unique collection of priceless Relics,Spell,Artifact,Relic,,,,,,
585129,A Midsummer Night's Dream,A Midsummer Nights Dream,https://tcgplayer-cdn.tcgplayer.com/product/585129_200w.jpg,77,23588,https://cpt.tcgcsv.com/C3J6,2024-10-04T19:00:04.82,1,3.3,6.49,23.34,3.53,,Normal,Unique,Mortals here are disabled and each give +1 power to all Faeries here. Dispel if there are no Faeries here.,3,A Unique Aura delights in man's misfortune,Spell,Aura,,AA,Air,,,,
585130,A Midsummer Night's Dream (Foil),A Midsummer Nights Dream Foil,https://tcgplayer-cdn.tcgplayer.com/product/585130_200w.jpg,77,23588,https://cpt.tcgcsv.com/D3J6,2024-10-04T19:00:04.853,1,75.0,76.05,90.0,77.04,,Foil,Unique,Mortals here are disabled and each give +1 power to all Faeries here. Dispel if there are no Faeries here.,3,A Unique Aura delights in man's misfortune,Spell,Aura,,AA,Air,,,,
585131,Amulet of Niniane,Amulet of Niniane,https://tcgplayer-cdn.tcgplayer.com/product/585131_200w.jpg,77,23588,https://cpt.tcgcsv.com/F3J6,2024-10-04T19:00:04.917,1,29.95,50.0,99.99,26.72,,Normal,Unique,Bearer can't be targeted or damaged by magic.,1,A Unique Relic and wizardly ward,Spell,Artifact,Relic,,,,,,
585132,Amulet of Niniane (Foil),Amulet of Niniane Foil,https://tcgplayer-cdn.tcgplayer.com/product/585132_200w.jpg,77,23588,https://cpt.tcgcsv.com/G3J6,2024-10-04T19:00:05.02,1,240.0,249.95,499.99,112.57,,Foil,Unique,Bearer can't be targeted or damaged by magic.,1,A Unique Relic and wizardly ward,Spell,Artifact,Relic,,,,,,
585133,Annual Fair,Annual Fair,https://tcgplayer-cdn.tcgplayer.com/product/585133_200w.jpg,77,23588,https://cpt.tcgcsv.com/H3J6,2024-10-04T19:00:05.12,1,0.09,0.2,1.0,0.16,,Normal,Exceptional,"(1) -> Gain (A), (E), (F), or (W) this turn.",,An Exceptional Site of tradition and trade,Site,Site,,,,,,,
585134,Annual Fair (Foil),Annual Fair Foil,https://tcgplayer-cdn.tcgplayer.com/product/585134_200w.jpg,77,23588,https://cpt.tcgcsv.com/J3J6,2024-10-04T19:00:05.183,1,6.51,8.13,46.69,6.33,,Foil,Exceptional,"(1) -> Gain (A), (E), (F), or (W) this turn.",,An Exceptional Site of tradition and trade,Site,Site,,,,,,,
585135,Arcane Barrage,Arcane Barrage,https://tcgplayer-cdn.tcgplayer.com/product/585135_200w.jpg,77,23588,https://cpt.tcgcsv.com/K3J6,2024-10-04T19:00:05.307,1,0.45,0.73,4.99,0.66,,Normal,Elite,"Shoot X projectiles in the same direction, one at a time. Each deals 1 damage.",X,A fierce flurry of Elite Magic,Spell,Magic,,AAA,Air,,,,
585136,Arcane Barrage (Foil),Arcane Barrage Foil,https://tcgplayer-cdn.tcgplayer.com/product/585136_200w.jpg,77,23588,https://cpt.tcgcsv.com/L3J6,2024-10-04T19:00:05.357,1,11.8,12.9,19.99,10.7,,Foil,Elite,"Shoot X projectiles in the same direction, one at a time. Each deals 1 damage.",X,A fierce flurry of Elite Magic,Spell,Magic,,AAA,Air,,,,
585137,Archimago,Archimago,https://tcgplayer-cdn.tcgplayer.com/product/585137_200w.jpg,77,23588,https://cpt.tcgcsv.com/M3J6,2024-10-04T19:00:05.407,1,0.1,0.4,15.0,0.39,,Normal,Elite,"Tap -> Play or draw a site.<br><br>
<br><br>
Banish three magic spells in your cemetery -> Cast one of them, if able.",,Your Avatar performs a smackdown of magic,Avatar,Avatar,,,,1,20,,
585138,Archimago (Foil),Archimago Foil,https://tcgplayer-cdn.tcgplayer.com/product/585138_200w.jpg,77,23588,https://cpt.tcgcsv.com/N3J6,2024-10-04T19:00:05.453,1,45.0,51.33,74.99,45.71,,Foil,Elite,"Tap -> Play or draw a site.<br><br>
<br><br>
Banish three magic spells in your cemetery -> Cast one of them, if able.",,Your Avatar performs a smackdown of magic,Avatar,Avatar,,,,1,20,,
585139,Arc Lightning,Arc Lightning,https://tcgplayer-cdn.tcgplayer.com/product/585139_200w.jpg,77,23588,https://cpt.tcgcsv.com/P3J6,2024-10-04T19:00:05.23,1,0.05,0.15,1.4,0.09,,Normal,Ordinary,Deal 4 damage to target nearby unit.,4,Ordinary Magic of focused fulmination,Spell,Magic,,AA,Air,,,"Lightning obeyed olde Merlin’s command,
Justice conveyed unto noggin from hand.",
585140,Arc Lightning (Foil),Arc Lightning Foil,https://tcgplayer-cdn.tcgplayer.com/product/585140_200w.jpg,77,23588,https://cpt.tcgcsv.com/Q3J6,2024-10-04T19:00:05.277,1,0.8,1.91,20.0,1.38,,Foil,Ordinary,Deal 4 damage to target nearby unit.,4,Ordinary Magic of focused fulmination,Spell,Magic,,AA,Air,,,"Lightning obeyed olde Merlin’s command,
Justice conveyed unto noggin from hand.",
585141,Attack by Night,Attack by Night,https://tcgplayer-cdn.tcgplayer.com/product/585141_200w.jpg,77,23588,https://cpt.tcgcsv.com/R3J6,2024-10-04T19:00:05.487,1,0.08,0.2,1.0,0.12,,Normal,Exceptional,Enemies drop their artifacts. Allied units strike first this turn.,3,Exceptional Magic catches them unprepared,Spell,Magic,,A,Air,,,,
585142,Attack by Night (Foil),Attack by Night Foil,https://tcgplayer-cdn.tcgplayer.com/product/585142_200w.jpg,77,23588,https://cpt.tcgcsv.com/S3J6,2024-10-04T19:00:05.533,1,1.0,2.1,9.0,1.55,,Foil,Exceptional,Enemies drop their artifacts. Allied units strike first this turn.,3,Exceptional Magic catches them unprepared,Spell,Magic,,A,Air,,,,
585143,Avalon,Avalon,https://tcgplayer-cdn.tcgplayer.com/product/585143_200w.jpg,77,23588,https://cpt.tcgcsv.com/T3J6,2024-10-04T19:00:05.627,1,3.26,5.0,39.99,3.77,,Normal,Unique,Provides mana and threshold for everyone.,,A Unique Site of legendary wonder and grace,Site,Site,,AEFW,Air;Earth;Fire;Water,,,,
585144,Avalon (Foil),Avalon Foil,https://tcgplayer-cdn.tcgplayer.com/product/585144_200w.jpg,77,23588,https://cpt.tcgcsv.com/V3J6,2024-10-04T19:00:05.767,1,43.99,49.47,99.99,53.47,,Foil,Unique,Provides mana and threshold for everyone.,,A Unique Site of legendary wonder and grace,Site,Site,,AEFW,Air;Earth;Fire;Water,,,,
585145,Babbling Brook,Babbling Brook,https://tcgplayer-cdn.tcgplayer.com/product/585145_200w.jpg,77,23588,https://cpt.tcgcsv.com/W3J6,2024-10-04T19:00:06.15,1,0.09,0.2,1.0,0.12,,Normal,Exceptional,"Genesis -> Until your next turn, minions are disabled while atop nearby sites.",,Be lulled to sleep by this Exceptional Site,Site,Site,,W,Water,,,,
585146,Babbling Brook (Foil),Babbling Brook Foil,https://tcgplayer-cdn.tcgplayer.com/product/585146_200w.jpg,77,23588,https://cpt.tcgcsv.com/X3J6,2024-10-04T19:00:06.23,1,2.0,3.17,16.86,3.14,,Foil,Exceptional,"Genesis -> Until your next turn, minions are disabled while atop nearby sites.",,Be lulled to sleep by this Exceptional Site,Site,Site,,W,Water,,,,
585147,Bailey,Bailey,https://tcgplayer-cdn.tcgplayer.com/product/585147_200w.jpg,77,23588,https://cpt.tcgcsv.com/Z3J6,2024-10-04T19:00:06.34,1,0.08,0.2,0.75,0.11,,Normal,Exceptional,Enemies can't move to here on the ground.,3,An Exceptional Monument protects your home,Spell,Artifact,Monument,,,,,"While chaos takes the world around, 
A wooden wall keeps safe and sound.",
585148,Bailey (Foil),Bailey Foil,https://tcgplayer-cdn.tcgplayer.com/product/585148_200w.jpg,77,23588,https://cpt.tcgcsv.com/-3J6,2024-10-04T19:00:06.48,1,0.59,1.5,73.75,1.27,,Foil,Exceptional,Enemies can't move to here on the ground.,3,An Exceptional Monument protects your home,Spell,Artifact,Monument,,,,,"While chaos takes the world around, 
A wooden wall keeps safe and sound.",
585149,Ball Lightning,Ball Lightning,https://tcgplayer-cdn.tcgplayer.com/product/585149_200w.jpg,77,23588,https://cpt.tcgcsv.com/_3J6,2024-10-04T19:00:06.623,1,0.19,0.35,3.99,0.23,,Normal,Elite,"Shoot a projectile. It deals 4 damage on impact, then changes direction. Its next impact deals 2, then it changes direction. Its final impact deals 1.",5,Elite Magic of peripatetic plasma,Spell,Magic,,AA,Air,,,,
585150,Ball Lightning (Foil),Ball Lightning Foil,https://tcgplayer-cdn.tcgplayer.com/product/585150_200w.jpg,77,23588,https://cpt.tcgcsv.com/05J6,2024-10-04T19:00:06.763,1,5.0,5.93,20.39,5.58,,Foil,Elite,"Shoot a projectile. It deals 4 damage on impact, then changes direction. Its next impact deals 2, then it changes direction. Its final impact deals 1.",5,Elite Magic of peripatetic plasma,Spell,Magic,,AA,Air,,,,
