productId,name,cleanName,imageUrl,categoryId,groupId,url,modifiedOn,imageCount,extRarity,extDescription,extCost,extThreshold,extElement,extTypeLine,extCardCategory,extCardType,lowPrice,midPrice,highPrice,marketPrice,directLowPrice,subTypeName,extPowerRating,extCardSubtype,extFlavorText,extDefensePower,extLife
522739,Scorched Earth,Scorched Earth,https://tcgplayer-cdn.tcgplayer.com/product/522739_200w.jpg,77,23336,https://cpt.tcgcsv.com/P6c6,2024-10-03T17:48:38.437,1,Elite,Choose any number of sites you control. Destroy each of those sites and everything there.,3,F,Fire,Elite Magic of dire desperation,Spell,Magic,0.19,0.4,1.95,0.32,,Normal,,,,,
522740,Scorched Earth (Foil),Scorched Earth Foil,https://tcgplayer-cdn.tcgplayer.com/product/522740_200w.jpg,77,23336,https://cpt.tcgcsv.com/Q6c6,2024-10-03T17:48:38.517,1,Elite,Choose any number of sites you control. Destroy each of those sites and everything there.,3,F,Fire,Elite Magic of dire desperation,Spell,Magic,3.0,4.0,20.0,3.54,,Foil,,,,,
522741,Scent Hounds,Scent Hounds,https://tcgplayer-cdn.tcgplayer.com/product/522741_200w.jpg,77,23336,https://cpt.tcgcsv.com/R6c6,2024-10-03T17:48:38.593,1,Ordinary,Nearby enemies permanently lose Stealth.,2,E,Earth,Ordinary Beasts with extraordinary sniffers,Spell,Minion,0.02,0.15,1.0,0.06,,Normal,2,Beast,"For the upwardly mobile of the Midland Court, accolades in the Royal Hunt of the Mist were as treasured as any war-time achievement.",2,
522742,Scent Hounds (Foil),Scent Hounds Foil,https://tcgplayer-cdn.tcgplayer.com/product/522742_200w.jpg,77,23336,https://cpt.tcgcsv.com/S6c6,2024-10-03T17:48:38.697,1,Ordinary,Nearby enemies permanently lose Stealth.,2,E,Earth,Ordinary Beasts with extraordinary sniffers,Spell,Minion,1.45,2.0,25.0,1.62,,Foil,2,Beast,"For the upwardly mobile of the Midland Court, accolades in the Royal Hunt of the Mist were as treasured as any war-time achievement.",2,
522743,Scourge Zombies,Scourge Zombies,https://tcgplayer-cdn.tcgplayer.com/product/522743_200w.jpg,77,23336,https://cpt.tcgcsv.com/T6c6,2024-10-03T17:48:38.84,1,Ordinary,"Whenever an allied Mortal dies on land, you may summon Scourge Zombies from your cemetery to its location, tapped.",4,E,Earth,Ordinary Undead of recent vintage,Spell,Minion,0.02,0.15,0.79,0.06,,Normal,2,Undead,,2,
522744,Scourge Zombies (Foil),Scourge Zombies Foil,https://tcgplayer-cdn.tcgplayer.com/product/522744_200w.jpg,77,23336,https://cpt.tcgcsv.com/V6c6,2024-10-03T17:48:38.927,1,Ordinary,"Whenever an allied Mortal dies on land, you may summon Scourge Zombies from your cemetery to its location, tapped.",4,E,Earth,Ordinary Undead of recent vintage,Spell,Minion,1.39,1.5,6.9,1.42,,Foil,2,Undead,,2,
522745,Screaming Skull,Screaming Skull,https://tcgplayer-cdn.tcgplayer.com/product/522745_200w.jpg,77,23336,https://cpt.tcgcsv.com/W6c6,2024-10-03T17:48:38.99,1,Elite,"Whenever bearer attacks and kills an enemy, it untaps.",3,,,An Elite Relic of unbridled rage,Spell,Artifact,0.79,0.97,1.95,0.98,,Normal,,Relic,,,
522746,Screaming Skull (Foil),Screaming Skull Foil,https://tcgplayer-cdn.tcgplayer.com/product/522746_200w.jpg,77,23336,https://cpt.tcgcsv.com/X6c6,2024-10-03T17:48:39.157,1,Elite,"Whenever bearer attacks and kills an enemy, it untaps.",3,,,An Elite Relic of unbridled rage,Spell,Artifact,11.65,14.05,26.0,14.05,,Foil,,Relic,,,
522747,Sea Raider,Sea Raider,https://tcgplayer-cdn.tcgplayer.com/product/522747_200w.jpg,77,23336,https://cpt.tcgcsv.com/Z6c6,2024-10-03T17:48:39.233,1,Exceptional,"Whenever Sea Raider attacks and kills an enemy, its controller discards their topmost spell. You may cast that spell once this turn, ignoring threshold.",3,WW,Water,An Exceptional Mortal loots and pillages,Spell,Minion,0.09,0.2,0.79,0.14,,Normal,3,Mortal,,3,
522748,Sea Raider (Foil),Sea Raider Foil,https://tcgplayer-cdn.tcgplayer.com/product/522748_200w.jpg,77,23336,https://cpt.tcgcsv.com/-6c6,2024-10-03T17:48:39.297,1,Exceptional,"Whenever Sea Raider attacks and kills an enemy, its controller discards their topmost spell. You may cast that spell once this turn, ignoring threshold.",3,WW,Water,An Exceptional Mortal loots and pillages,Spell,Minion,33.0,43.5,75.0,33.81,,Foil,3,Mortal,,3,
522749,Sea Serpent,Sea Serpent,https://tcgplayer-cdn.tcgplayer.com/product/522749_200w.jpg,77,23336,https://cpt.tcgcsv.com/_6c6,2024-10-03T17:48:39.343,1,Ordinary,"Submerge, Waterbound",4,W,Water,An Ordinary Beast bestrides the ocean,Spell,Minion,0.02,0.15,0.79,0.07,,Normal,4,Beast,The study of sea serpents advances one funeral at a time.,4,
522750,Witherwing Hero,Witherwing Hero,https://tcgplayer-cdn.tcgplayer.com/product/522750_200w.jpg,77,23336,https://cpt.tcgcsv.com/07c6,2024-10-03T17:48:39.417,1,Unique,"Airborne<br><br>Whenever a weaker allied minion here is attacked, you may return it to its owner's hand.",4,AA,Air,"A Unique Angel, dauntless and daring",Spell,Minion,1.2,1.95,19.99,1.63,,Normal,4,Angel,,4,
522751,Witherwing Hero (Foil),Witherwing Hero Foil,https://tcgplayer-cdn.tcgplayer.com/product/522751_200w.jpg,77,23336,https://cpt.tcgcsv.com/27c6,2024-10-03T17:48:39.493,1,Unique,"Airborne<br><br>Whenever a weaker allied minion here is attacked, you may return it to its owner's hand.",4,AA,Air,"A Unique Angel, dauntless and daring",Spell,Minion,19.75,29.09,250.0,23.31,,Foil,4,Angel,,4,
522752,Wraetannis Titan,Wraetannis Titan,https://tcgplayer-cdn.tcgplayer.com/product/522752_200w.jpg,77,23336,https://cpt.tcgcsv.com/37c6,2024-10-03T17:48:39.54,1,Elite,Genesis —> Strike each enemy here.,7,EE,Earth,An Elite Giant makes an epic entrance,Spell,Minion,0.4,0.51,2.5,0.48,,Normal,6,Giant,,6,
522753,Wraetannis Titan (Foil),Wraetannis Titan Foil,https://tcgplayer-cdn.tcgplayer.com/product/522753_200w.jpg,77,23336,https://cpt.tcgcsv.com/57c6,2024-10-03T17:48:39.677,1,Elite,Genesis —> Strike each enemy here.,7,EE,Earth,An Elite Giant makes an epic entrance,Spell,Minion,6.53,8.48,20.0,8.78,,Foil,6,Giant,,6,
522754,Wrath of the Sea,Wrath of the Sea,https://tcgplayer-cdn.tcgplayer.com/product/522754_200w.jpg,77,23336,https://cpt.tcgcsv.com/67c6,2024-10-03T17:48:39.8,1,Elite,Flood all sites adjacent to a body of water this turn. Then submerge all minions and artifacts on water.,7,WW,Water,Elite Magic of merciless deluge,Spell,Magic,0.25,0.5,9.99,0.44,,Normal,,,,,
522755,Wrath of the Sea (Foil),Wrath of the Sea Foil,https://tcgplayer-cdn.tcgplayer.com/product/522755_200w.jpg,77,23336,https://cpt.tcgcsv.com/77c6,2024-10-03T17:48:39.847,1,Elite,Flood all sites adjacent to a body of water this turn. Then submerge all minions and artifacts on water.,7,WW,Water,Elite Magic of merciless deluge,Spell,Magic,4.53,5.47,27.34,5.51,,Foil,,,,,
